PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40986191","Comparative Evaluation of Radiomics and Deep Learning Models for Disease Detection in Chest Radiography","He Z, McMillan AB.","J Imaging Inform Med. 2026 Jun;39(3):2340-2351. doi: 10.1007/s10278-025-01670-9. Epub 2025 Sep 23.","He Z","J Imaging Inform Med","2026","2025/09/23","PMC13230419","","10.1007/s10278-025-01670-9"
"37202803","A survey on automatic generation of medical imaging reports based on deep learning","Pang T, Li P, Zhao L.","Biomed Eng Online. 2023 May 18;22(1):48. doi: 10.1186/s12938-023-01113-y.","Pang T","Biomed Eng Online","2023","2023/05/18","PMC10195007","","10.1186/s12938-023-01113-y"
"35590833","Segmentation Performance Comparison Considering Regional Characteristics in Chest X-ray Using Deep Learning","Lee HM, Kim YJ, Kim KG.","Sensors (Basel). 2022 Apr 20;22(9):3143. doi: 10.3390/s22093143.","Lee HM","Sensors (Basel)","2022","2022/05/20","PMC9104434","","10.3390/s22093143"
"39658683","The role of deep learning in diagnostic imaging of spondyloarthropathies: a systematic review","Omar M, Watad A, McGonagle D, Soffer S, Glicksberg BS, Nadkarni GN, Klang E.","Eur Radiol. 2025 Jun;35(6):3661-3672. doi: 10.1007/s00330-024-11261-x. Epub 2024 Dec 10.","Omar M","Eur Radiol","2025","2024/12/10","PMC12081588","","10.1007/s00330-024-11261-x"
"41933281","Beam-hardening correction in clinical x-ray dark-field chest radiography using deep-learning-based bone segmentation","Kaster L, Lochschmidt ME, Bauer AM, Dorosti T, Demianova S, Koehler T, Pfeiffer D, Pfeiffer F.","Med Phys. 2026 Apr;53(4):e70422. doi: 10.1002/mp.70422.","Kaster L","Med Phys","2026","2026/04/03","PMC13049107","","10.1002/mp.70422"
"37523001","A review of deep learning and radiomics approaches for pancreatic cancer diagnosis from medical imaging","Yao L, Zhang Z, Keles E, Yazici C, Tirkes T, Bagci U.","Curr Opin Gastroenterol. 2023 Sep 1;39(5):436-447. doi: 10.1097/MOG.0000000000000966. Epub 2023 Jul 18.","Yao L","Curr Opin Gastroenterol","2023","2023/07/31","PMC10403281","NIHMS1914175","10.1097/MOG.0000000000000966"
"35136170","A deep learning algorithm to identify cervical ossification of posterior longitudinal ligaments on radiography","Tamai K, Terai H, Hoshino M, Yabu A, Tabuchi H, Sasaki R, Nakamura H.","Sci Rep. 2022 Feb 8;12(1):2113. doi: 10.1038/s41598-022-06140-8.","Tamai K","Sci Rep","2022","2022/02/09","PMC8826389","","10.1038/s41598-022-06140-8"
"36421343","Applying Deep Learning for Breast Cancer Detection in Radiology","Mahoro E, Akhloufi MA.","Curr Oncol. 2022 Nov 16;29(11):8767-8793. doi: 10.3390/curroncol29110690.","Mahoro E","Curr Oncol","2022","2022/11/24","PMC9689782","","10.3390/curroncol29110690"
"33989035","Artificial intelligence in medical imaging: implications for patient radiation safety","Seah J, Brady Z, Ewert K, Law M.","Br J Radiol. 2021 Oct 1;94(1126):20210406. doi: 10.1259/bjr.20210406. Epub 2021 Jun 23.","Seah J","Br J Radiol","2021","2021/05/14","PMC9328044","","10.1259/bjr.20210406"
"41184504","Deep‑learning based osteoporosis classification in knee X‑rays using transfer‑learning approach","Qureshi MB, Sani M, Raza A, Qureshi MS, Alghamdi W, Akbar S, Kadir RA, Sarker MR.","Sci Rep. 2025 Nov 3;15(1):38448. doi: 10.1038/s41598-025-24338-4.","Qureshi MB","Sci Rep","2025","2025/11/03","PMC12583545","","10.1038/s41598-025-24338-4"
"35866648","Applying Deep Learning to Establish a Total Hip Arthroplasty Radiography Registry: A Stepwise Approach","Rouzrokh P, Khosravi B, Johnson QJ, Faghani S, Vera Garcia DV, Erickson BJ, Maradit Kremers H, Taunton MJ, Wyles CC.","J Bone Joint Surg Am. 2022 Sep 21;104(18):1649-1658. doi: 10.2106/JBJS.21.01229. Epub 2022 Jul 21.","Rouzrokh P","J Bone Joint Surg Am","2022","2022/07/22","PMC9617138","NIHMS1841190","10.2106/JBJS.21.01229"
"40544827","Advancements in Caries Diagnostics Using Bitewing Radiography: A Systematic Review of Deep Learning Approaches","Horvath KSH, Gjerdet NR, Shi XQ.","Caries Res. 2026;60(2):127-151. doi: 10.1159/000546448. Epub 2025 Jun 22.","Horvath KSH","Caries Res","2026","2025/06/22","PMC12331221","","10.1159/000546448"
"30238345","Restoration of Full Data from Sparse Data in Low-Dose Chest Digital Tomosynthesis Using Deep Convolutional Neural Networks","Lee D, Kim HJ.","J Digit Imaging. 2019 Jun;32(3):489-498. doi: 10.1007/s10278-018-0124-5.","Lee D","J Digit Imaging","2019","2018/09/22","PMC6499862","","10.1007/s10278-018-0124-5"
"34502591","On the Use of Deep Learning for Imaging-Based COVID-19 Detection Using Chest X-rays","Okolo GI, Katsigiannis S, Althobaiti T, Ramzan N.","Sensors (Basel). 2021 Aug 24;21(17):5702. doi: 10.3390/s21175702.","Okolo GI","Sensors (Basel)","2021","2021/09/10","PMC8434119","","10.3390/s21175702"
"37095189","Diagnostic accuracy of a deep learning model using YOLOv5 for detecting developmental dysplasia of the hip on radiography images","Den H, Ito J, Kokaze A.","Sci Rep. 2023 Apr 24;13(1):6693. doi: 10.1038/s41598-023-33860-2.","Den H","Sci Rep","2023","2023/04/24","PMC10126130","","10.1038/s41598-023-33860-2"
