PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30598645","Exploring PubMed as a reliable resource for scholarly communications services","Ossom Williamson P, Minter CIJ.","J Med Libr Assoc. 2019 Jan;107(1):16-29. doi: 10.5195/jmla.2019.433. Epub 2019 Jan 1.","Ossom Williamson P","J Med Libr Assoc","2019","2019/01/02","PMC6300231","","10.5195/jmla.2019.433"
"23819658","OvidSP Medline-to-PubMed search filter translation: a methodology for extending search filter range to include PubMed's unique content","Damarell RA, Tieman JJ, Sladek RM.","BMC Med Res Methodol. 2013 Jul 2;13:86. doi: 10.1186/1471-2288-13-86.","Damarell RA","BMC Med Res Methodol","2013","2013/07/04","PMC3700762","","10.1186/1471-2288-13-86"
"38597890","NetMe 2.0: a web-based platform for extracting and modeling knowledge from biomedical literature as a labeled graph","Di Maria A, Bellomo L, Billeci F, Cardillo A, Alaimo S, Ferragina P, Ferro A, Pulvirenti A.","Bioinformatics. 2024 May 2;40(5):btae194. doi: 10.1093/bioinformatics/btae194.","Di Maria A","Bioinformatics","2024","2024/04/10","PMC11074003","","10.1093/bioinformatics/btae194"
"21062818","UKPMC: a full text article resource for the life sciences","McEntyre JR, Ananiadou S, Andrews S, Black WJ, Boulderstone R, Buttery P, Chaplin D, Chevuru S, Cobley N, Coleman LA, Davey P, Gupta B, Haji-Gholam L, Hawkins C, Horne A, Hubbard SJ, Kim JH, Lewin I, Lyte V, MacIntyre R, Mansoor S, Mason L, McNaught J, Newbold E, Nobata C, Ong E, Pillai S, Rebholz-Schuhmann D, Rosie H, Rowbotham R, Rupp CJ, Stoehr P, Vaughan P.","Nucleic Acids Res. 2011 Jan;39(Database issue):D58-65. doi: 10.1093/nar/gkq1063. Epub 2010 Nov 9.","McEntyre JR","Nucleic Acids Res","2011","2010/11/11","PMC3013671","","10.1093/nar/gkq1063"
"34720253","Software review: The JATSdecoder package-extract metadata, abstract and sectioned text from NISO-JATS coded XML documents; Insights to PubMed central's open access database","Böschen I.","Scientometrics. 2021;126(12):9585-9601. doi: 10.1007/s11192-021-04162-z. Epub 2021 Oct 24.","Böschen I","Scientometrics","2021","2021/11/01","PMC8542361","","10.1007/s11192-021-04162-z"
"39395833","PubMed captures more fine-grained bibliographic data on scientific commentary than Web of Science: a comparative analysis","Wang S, Zhang K, Du J.","BMJ Health Care Inform. 2024 Oct 11;31(1):e101017. doi: 10.1136/bmjhci-2024-101017.","Wang S","BMJ Health Care Inform","2024","2024/10/12","PMC11474939","","10.1136/bmjhci-2024-101017"
"40377097","LitSense 2.0: AI-powered biomedical information retrieval with sentence and passage level knowledge discovery","Yeganova L, Kim W, Tian S, Comeau DC, Wilbur WJ, Lu Z.","Nucleic Acids Res. 2025 Jul 7;53(W1):W361-W368. doi: 10.1093/nar/gkaf417.","Yeganova L","Nucleic Acids Res","2025","2025/05/16","PMC12230651","","10.1093/nar/gkaf417"
"22913485","NetiNeti: discovery of scientific names from text using machine learning methods","Akella LM, Norton CN, Miller H.","BMC Bioinformatics. 2012 Aug 22;13:211. doi: 10.1186/1471-2105-13-211.","Akella LM","BMC Bioinformatics","2012","2012/08/24","PMC3542245","","10.1186/1471-2105-13-211"
"23658683","Remarkable growth of open access in the biomedical field: analysis of PubMed articles from 2006 to 2010","Kurata K, Morioka T, Yokoi K, Matsubayashi M.","PLoS One. 2013 May 1;8(5):e60925. doi: 10.1371/journal.pone.0060925. Print 2013.","Kurata K","PLoS One","2013","2013/05/10","PMC3641021","","10.1371/journal.pone.0060925"
"30794701","With open science gaining traction, do we need an Australasia PubMed Central (PMC)? A qualitative investigation","Kruesi LM, Burstein FV, Tanner KJ.","PLoS One. 2019 Feb 22;14(2):e0212843. doi: 10.1371/journal.pone.0212843. eCollection 2019.","Kruesi LM","PLoS One","2019","2019/02/23","PMC6386259","","10.1371/journal.pone.0212843"
"20856807","Systematic characterizations of text similarity in full text biomedical publications","Sun Z, Errami M, Long T, Renard C, Choradia N, Garner H.","PLoS One. 2010 Sep 15;5(9):e12704. doi: 10.1371/journal.pone.0012704.","Sun Z","PLoS One","2010","2010/09/22","PMC2939881","","10.1371/journal.pone.0012704"
"28758029","Concern noted: A descriptive study of editorial expressions of concern in PubMed and PubMed Central","Vaught M, Jordan DC, Bastian H.","Res Integr Peer Rev. 2017;2:10. doi: 10.1186/s41073-017-0030-2. Epub 2017 May 27.","Vaught M","Res Integr Peer Rev","2017","2017/08/01","PMC5526611","NIHMS882737","10.1186/s41073-017-0030-2"
"31020319","LitSense: making sense of biomedical literature at sentence level","Allot A, Chen Q, Kim S, Vera Alvarez R, Comeau DC, Wilbur WJ, Lu Z.","Nucleic Acids Res. 2019 Jul 2;47(W1):W594-W599. doi: 10.1093/nar/gkz289.","Allot A","Nucleic Acids Res","2019","2019/04/26","PMC6602490","","10.1093/nar/gkz289"
